id	buffType	affectAttribute	buffName	isPositive	buffDesc	buffIconObjName
1001	ATTACK_DOWN	ATTACK	攻击力下降	FALSE	描述	11
1002	ATTACK_UP	ATTACK	攻击力上升	TRUE	描述	11
1003	DEFEND_DOWN	DEFEND	防御力下降	FALSE	描述	11
1004	DEFEND_UP	DEFEND	防御力上升	TRUE	描述	11
1005	MISS_DOWN	MISS	闪避率下降	FALSE	描述	11
1006	MISS_UP	MISS	闪避率上升	TRUE	描述	11
1007	CRITICAL_DOWN	CRITICAL_CHANCE	暴击率下降	FALSE	描述	11
1008	CRITICAL_UP	CRITICAL_CHANCE	暴击率上升	TRUE	描述	11
1009	PHYSICAL_LEVLE_DOWN	PHYSICAL_LEVEL	物理穿透等级下降	FALSE	描述	12
1010	PHYSICAL_LEVEL_UP	PHYSICAL_LEVEL	物理穿透等级上升	TRUE	描述	13
1011	ARMOR_LEVEL_UP	ARMOR	护甲等级上升	TRUE	描述	14
1012	ARMOR_LEVEL_DOWN	ARMOR	护甲等级下降	FALSE	描述	15
1013	MAGIC_RESISTANCE_LEVEL_UP	MAGIC_RESISTENCE	法术抗性上升	TRUE	描述	16
1014	MAGIC_RESISTANCE_LEVEL_DOWN	MAGIC_RESISTENCE	法术抗性下降	FALSE	描述	17
